Postcode,Installation_2001,Output_2001,Installation_2002,Output_2002,Installation_2003,Output_2003,Installation_2004,Output_2004,Installation_2005,Output_2005,Installation_2006,Output_2006,Installation_2007,Output_2007,Installation_2008,Output_2008,Installation_2009,Output_2009,Installation_2010,Output_2010,Installation_2011,Output_2011,Installation_2012,Output_2012,Installation_2013,Output_2013,Installation_2014,Output_2014,Installation_2015,Output_2015,Installation_2016,Output_2016,Installation_2017,Output_2017,Installation_2018,Output_2018,Installation_2019,Output_2019,Installation_2020,Output_2020,Installation_2021,Output_2021,Installation_Total,Output_Total
3580,0,0,0,0,0,0,0,0,1,1.12,0,0,1,0.56,0,0,3,3.51,13,20.58,18,40.515,24,97.125,8,28.77,15,61.435,15,52.38,16,72.445,16,105.385,19,210.095,18,275.12,17,139.66,9,59.58,193,1168.28
3581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,8.61,6,15.785,4,15.18,2,10.785,2,14.75,2,7,2,12,5,33.93,1,10.8,5,27.95,2,13.2,1,6.66,38,177.65
3583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12.075,3,7.22,2,15.1,1,5,2,7.75,8,51.48,1,10,3,18.665,5,50.52,1,29.7,1,77.7,31,285.21
3584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11.56,28,97.8,14,66.46,12,47.54,6,27.4,6,43.7,17,131.74,12,63.4,18,186.31,23,348.64,20,144.865,4,46.14,167,1215.555
3585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.65,44,83.22,309,932.185,167,798.16,101,622.525,54,435.937,83,639.995,91,1094.11,79,591.095,137,1607.645,146,1363.17,198,1842.535,51,673.63,1464,10688.857
3586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.05,6,13.03,23,87.065,14,57.458,14,60.4,6,96.25,6,38.5,4,30.07,5,47.51,14,208.73,10,75.275,13,127.335,3,30.33,119,873.003
3588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6.73,7,22.105,7,29.88,4,12,5,19,9,44,8,158.19,5,19.84,9,50.075,12,76.88,8,63.305,4,31.48,81,533.485
3589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7.948,8,22.55,6,23.86,2,7.04,4,44,3,28.46,2,8.63,14,381.215,5,89.225,2,52.96,3,36.3,1,6.66,53,708.848
3590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.05,5,13.4,5,23.62,12,71.86,6,22.7,1,5.5,1,3,4,60.18,6,122.47,1,5.3,2,115.64,7,42.96,2,59.64,53,547.32
3591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.47,4,12.59,3,16.11,0,0,1,5,0,0,0,0,1,5.3,9,66.45,4,32,3,19.845,2,37.18,28,195.945
