Postcode,Jan 2017 - Installations Quantity,Jan 2017 - SGU Rated Output In kW,Feb 2017 - Installations Quantity,Feb 2017 - SGU Rated Output In kW,Mar 2017 - Installations Quantity,Mar 2017 - SGU Rated Output In kW,Apr 2017 - Installations Quantity,Apr 2017 - SGU Rated Output In kW,May 2017 - Installations Quantity,May 2017 - SGU Rated Output In kW,Jun 2017 - Installations Quantity,Jun 2017 - SGU Rated Output In kW,Jul 2017 - Installations Quantity,Jul 2017 - SGU Rated Output In kW,Aug 2017 - Installations Quantity,Aug 2017 - SGU Rated Output In kW,Sep 2017 - Installations Quantity,Sep 2017 - SGU Rated Output In kW,Oct 2017 - Installations Quantity,Oct 2017 - SGU Rated Output In kW,Nov 2017 - Installations Quantity,Nov 2017 - SGU Rated Output In kW,Dec 2017 - Installations Quantity,Dec 2017 - SGU Rated Output In kW
3936,4,18.42,6,29.23,13,59.1,4,15.96,7,53.15,6,35.48,2,7.63,8,37.96,7,61.48,6,30.32,7,38.645,11,60.683
3937,1,5.4,0,0,4,21.26,0,0,2,59.28,0,0,3,70.74,3,25.085,0,0,1,8.58,2,10.17,2,39.625
3938,2,10.432,2,6.3,4,9.97,1,4.16,3,12.4,1,5.28,3,9.63,5,20.6,3,16.86,5,29.7,1,5.3,4,20.24
3939,12,59.28,6,36.075,27,151.325,10,48.595,4,19.725,6,35.6,11,61.92,8,71.05,9,43.88,9,60.499,10,46.135,14,86.77
3940,1,5,0,0,2,7.74,1,3.18,1,4.05,4,19.48,2,5.6,1,3.24,1,3.24,1,7.02,2,10.34,1,7.15
3941,4,60.165,8,26.692,13,50.095,10,44.652,6,28.42,7,45.82,4,17.875,10,48.56,7,37.81,7,28.485,3,18.5,11,67.815
3942,1,4.32,0,0,5,18.07,1,5.22,2,9.6,3,20.285,1,6.48,1,3,4,14.565,1,5.13,2,12.15,5,21.099
3943,2,4.89,3,11.48,3,13.385,5,28.54,1,12.6,1,4.5,1,6.44,4,22.58,4,44.21,3,17.975,3,12.045,6,53.4
3944,0,0,3,13.66,0,0,2,10.1,3,32.96,0,0,2,20.816,1,3.24,0,0,0,0,0,0,2,22.41
3945,1,4.68,2,5.99,0,0,2,8.59,2,9.68,2,11.26,0,0,1,4.13,0,0,1,4.59,2,10.17,1,1.89
3946,0,0,1,4.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24.92,0,0
3950,2,8.12,5,20.25,13,50.71,2,104.43,4,41.76,7,27.355,7,27.85,3,16.905,6,30.57,9,136.97,9,60.72,5,22.68
3951,0,0,0,0,0,0,0,0,3,10.77,0,0,0,0,0,0,0,0,3,38.88,3,20.38,1,3.96
3953,3,22.9,3,38.37,6,66.205,8,35.605,9,155.845,4,20.255,9,87.89,9,56.56,10,49.025,6,28.29,13,78.43,10,78.47
3954,0,0,0,0,0,0,0,0,1,2.04,0,0,0,0,1,5,0,0,0,0,2,8.75,1,2.565
3956,4,19.47,4,17.3,4,16.12,1,2.97,5,18.34,4,18.465,0,0,4,90.155,3,17.895,6,27.7,8,35.9,6,28.66
3957,0,0,0,0,0,0,1,9.18,0,0,1,4.48,1,7.02,2,14.6,0,0,0,0,0,0,2,6.48
3958,0,0,0,0,0,0,1,4.59,0,0,1,15.66,0,0,0,0,0,0,2,9.8,2,11.88,1,3.54
3959,2,9.22,1,1.59,1,3.24,1,2.6,1,4.505,2,6.21,0,0,5,49.57,6,82.88,1,10.08,1,4.4,4,13.16
3960,2,7.71,1,4.48,5,20.02,6,24.57,3,14.85,6,26.975,3,13.985,4,17.91,0,0,1,2.75,0,0,5,39.8
3962,0,0,2,7.53,0,0,0,0,1,4,0,0,3,15.475,0,0,1,3.54,0,0,0,0,4,15.58
3964,0,0,0,0,0,0,0,0,1,4.5,1,4.5,0,0,1,4.16,0,0,0,0,0,0,0,0
3965,0,0,0,0,0,0,0,0,1,5.12,0,0,1,4.425,0,0,0,0,0,0,0,0,1,5.4
3966,0,0,0,0,1,3.24,0,0,0,0,0,0,0,0,0,0,2,15.13,0,0,0,0,1,5.12
3967,0,0,0,0,0,0,0,0,0,0,2,14.58,1,9.72,0,0,0,0,1,5.13,0,0,0,0
3971,1,4.16,2,25.6,3,10.85,0,0,3,24.345,5,20.79,3,33.245,2,37.43,3,15.46,4,20.31,5,24.395,4,68.34
3975,8,59.405,8,39.57,8,29.13,5,23.39,8,33.38,9,38.7,5,22.96,13,57.325,14,109.22,7,33.51,6,40.8,11,54.91
3976,7,27.04,8,31.76,6,22.88,7,24.32,12,45.4,4,18.17,5,19.835,11,44.37,6,25.52,15,69.715,6,27.22,10,50.97
3977,82,338.105,72,315.608,60,246.665,43,177.685,66,294.775,49,236.265,59,307.485,100,440.439,61,369.555,56,279.875,78,485.265,72,360.815
3978,18,70.73,18,78,24,99.565,16,71.4,24,103.32,12,46.82,22,101.275,18,76.56,21,109.755,19,98.375,24,118.59,34,187.29
3979,0,0,0,0,0,0,0,0,2,8.75,1,5,0,0,0,0,0,0,2,9.3,0,0,0,0
3980,2,10.99,1,3.64,4,25.12,2,6.71,2,7.95,2,6.83,1,4.59,4,19.93,4,18.76,3,15.85,4,14.9,8,51.92
3981,2,7.3,8,84.455,3,9.195,3,8.91,2,6.64,4,17.84,2,9.63,6,39.29,6,29.53,6,41.62,3,38,5,213.72
3984,3,13.06,6,33.12,8,35.1,9,35.34,5,26.705,7,35.3,7,27.16,15,77.1,6,25.9,16,94.675,7,30.665,7,64.75
3987,0,0,1,4.42,7,29.58,3,19.4,3,13.23,2,7.62,0,0,3,19.95,2,11.97,3,21.315,3,26.47,1,4.77
3988,0,0,0,0,0,0,0,0,1,4.5,0,0,0,0,0,0,1,7.02,3,12.52,1,6.16,0,0
3990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.9,0,0,0,0
3991,0,0,0,0,1,4.48,1,4.42,0,0,0,0,2,5.34,0,0,0,0,1,9.1,1,10.24,0,0
3992,0,0,0,0,2,6.48,0,0,0,0,1,10.05,4,16.2,2,18.14,2,20.19,2,7.56,2,10.19,1,6.48
3995,8,27.58,7,25.15,9,34.64,7,50.225,12,73.905,8,31.115,9,42.445,9,41.63,7,32.87,16,65.135,21,102.72,13,70.11
3996,7,28.91,5,21.79,5,23.655,8,31.41,5,18.98,7,31.135,3,12.805,6,29.92,10,46.425,10,43.092,8,194.505,6,34.29
4000,2,9,0,0,2,33.16,0,0,0,0,0,0,1,6.36,0,0,4,44.275,1,4.905,3,73.42,0,0
4001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4005,2,9.29,3,16.773,0,0,1,3.12,4,21.04,4,23.05,5,36.425,2,12.96,3,17.98,5,40.68,6,34.1,6,37.08
4006,1,14.85,0,0,2,17.2,3,97.21,1,5.98,1,1.6,2,55.96,2,14.43,0,0,0,0,6,140.02,6,116.24
4007,6,40.98,5,37.62,3,22.98,4,34.07,4,18.08,6,143.505,6,121.135,6,45.335,6,50.112,6,59.008,6,36.108,9,67.146
4008,1,1.56,0,0,1,30,0,0,0,0,3,105.92,0,0,0,0,0,0,0,0,2,106.47,0,0
4009,0,0,0,0,0,0,0,0,0,0,0,0,1,23.4,0,0,2,47.16,0,0,2,34.59,1,12.802
4010,0,0,1,6.54,1,6.24,0,0,0,0,1,6.555,1,3.85,1,6.5,2,16.74,0,0,0,0,0,0
4011,5,32.773,9,48.07,11,68.26,8,48.605,6,139.163,10,56.77,6,36.645,7,52.625,6,40.58,10,56.385,14,121.485,6,35.13
4012,5,26.94,9,47.71,5,21.645,3,11.28,7,35.85,7,43.15,6,37.43,9,50.285,8,49.77,10,61.96,19,128.92,8,73.72
4013,1,5.2,4,20.76,2,13.02,0,0,3,17.71,2,8.25,6,50.57,3,21.16,6,71.24,4,40.26,7,50,4,59.735
4014,9,47.92,7,31.06,9,64.99,7,33.805,13,100.765,10,54.29,11,63.815,15,107.78,8,49.49,10,48.915,10,100.505,9,46.61
4017,25,137.15,18,99.384,16,91.52,23,114.282,29,163.83,23,145.48,22,114.72,29,193.47,18,118.31,20,107.575,27,175.46,23,121.17
4018,7,36.82,9,44.11,13,57.343,8,38.37,14,50.705,29,96.86,26,48.89,30,71.065,15,67.14,13,56.19,21,79.793,10,52.535
4019,8,40.345,12,57.485,13,90.7,5,29.37,16,90.505,11,85.33,11,84.185,7,47.565,5,30.09,11,73.935,19,118.59,13,135.915
4020,10,64.07,11,58.525,15,90.875,14,78.14,13,73.175,11,57.79,14,96.835,10,57.68,14,95.145,16,89.899,12,77.995,21,126.8
4021,7,30.42,5,26.05,7,34.33,9,53.24,9,56.01,2,6.2,8,42.19,4,26.94,10,58.66,3,19.02,10,60.48,4,25.5
4022,2,14.31,4,21.68,3,16.38,2,12.345,11,47.45,15,50.125,8,22.09,6,34.42,6,22.72,8,132.52,5,26.185,3,18.48
4025,0,0,1,1.04,2,3.7,0,0,0,0,0,0,1,4.86,1,8.48,1,1.59,1,4.68,1,1.62,1,4.86
4030,4,18.44,6,26.09,13,80.19,8,43.68,5,35.46,2,11.72,11,100.453,8,41.025,9,63.455,7,67.095,15,83.655,7,51.535
4031,4,25.37,6,35.995,5,25.775,4,18.095,8,42.83,10,65.53,5,114.65,9,60.33,6,124.21,3,7.29,8,61.81,7,76.025
4032,4,23.12,9,68.21,3,17.3,7,37.82,6,33.04,3,23.82,8,46.08,4,22.44,10,59.705,5,105.11,5,36.15,9,58.818
4034,24,110.255,26,195.519,26,143.45,15,75.09,23,109.715,25,149.745,18,203.465,25,155.695,24,171.8,24,168.475,27,252.655,27,158.565
4035,22,121.55,23,127.865,32,174.775,23,117.49,21,130.835,20,121.095,34,194.008,20,108.635,23,136.806,32,211.619,26,160.765,23,152.54
4036,3,16.58,3,13.42,4,23.92,2,9.16,2,5.49,3,15.12,5,25.62,3,15.56,4,18.06,8,43.49,10,88.85,2,12.42
4037,5,28.77,9,49.76,0,0,7,43.105,4,22.6,9,59.05,10,60.335,8,48.525,7,43.265,13,86.93,9,54.805,11,73.075
4051,6,33.26,6,27.775,13,149.58,18,95.47,17,93.675,13,66.645,21,110.695,8,46.911,16,96.825,4,24.225,30,217.605,28,162.925
4053,17,92.055,20,138.85,28,140.062,25,161.91,23,166.215,22,127.78,27,194.695,31,193.825,22,120.675,34,200.835,38,209.701,26,251.35
4054,8,47.46,6,25.23,13,57.85,6,23.985,8,41.925,5,61.035,13,68.435,7,43.44,6,35.475,8,40.71,11,64.695,9,47.105
4055,13,69.52,21,106.83,19,91.64,13,74.236,19,126.915,11,65.64,10,52.01,18,135.035,10,57.125,19,101.6,16,95.24,28,164.745
4059,4,27.86,6,26.495,5,32.02,0,0,5,36.885,16,94.415,2,11.525,5,31.165,2,36.72,6,33.68,15,182.23,6,36.275
4060,5,33.125,9,51.722,7,41.33,3,17.295,6,38.332,7,69.17,8,43.86,10,78.935,5,28.82,7,51.23,15,92.93,13,77.505
4061,9,50.7,17,77.67,11,64.269,15,95.955,9,51.72,14,81.08,19,117.825,15,110.82,11,64.625,20,110.99,27,151.6,18,115.39
