Postcode,Jan 2021 - Installations Quantity,Jan 2021 - SGU Rated Output In kW,Feb 2021 - Installations Quantity,Feb 2021 - SGU Rated Output In kW,Mar 2021 - Installations Quantity,Mar 2021 - SGU Rated Output In kW,Apr 2021 - Installations Quantity,Apr 2021 - SGU Rated Output In kW,May 2021 - Installations Quantity,May 2021 - SGU Rated Output In kW
5157,5,34.2,8,59.97,4,38.05,8,80.665,2,19.92
5158,30,209.33,45,347.58,48,355.07,20,150.06,10,69.81
5159,49,350.145,46,350.93,44,328.33,39,308.865,28,230.59
5160,0,0,3,30.21,14,247.18,2,30.9,2,26.27
5161,11,72.23,17,120,17,115.18,7,47.61,5,33.98
5162,47,342.205,46,327.63,56,399.96,34,224.975,18,128.24
5163,19,141.44,22,153.44,27,199.165,19,128.85,9,72.73
5164,6,33.89,5,42.89,8,55.035,3,29.45,1,8.88
5165,5,31.47,12,84.2,11,84.33,3,20.72,3,24.42
5166,0,0,4,26.64,5,34.41,2,23.31,1,6.5
5167,11,80.99,10,73.78,10,68.41,4,34.02,2,19.98
5168,13,124.46,9,61.57,9,73.16,6,69.49,4,23.02
5169,34,233.17,33,258.2,46,353.52,32,234.97,25,179.13
5170,1,6.6,0,0,4,43.48,1,6.6,0,0
5171,13,106.32,14,119.095,16,148.93,10,74.18,7,70.38
5172,7,47.53,9,115.4,9,66.74,9,73.72,5,43.33
5173,24,184.215,22,169.36,18,135.14,16,128.71,6,43.41
5174,4,32.26,3,29.23,9,80.63,6,41.94,2,13.29
5175,0,0,0,0,0,0,0,0,0,0
5201,3,32.19,4,35.57,3,24.21,7,66.38,1,6.63
5202,2,13.26,1,14.8,4,34.64,2,16.56,1,6.63
5203,3,23.635,1,1.98,2,10.36,3,26.27,1,13.32
5204,10,81.9,16,126.99,11,78.84,9,64.99,5,38.85
5207,0,0,0,0,0,0,0,0,0,0
5210,4,32.49,7,67.3,5,57.14,3,19.47,4,58.83
5211,25,158.93,31,245.88,25,204.28,20,152.92,23,171.84
5212,1,3.96,5,36.825,6,43.355,3,19.91,2,13.32
5213,4,26.58,3,21.03,1,9.9,3,23.99,2,14.37
5214,18,149.85,23,170.95,25,181.94,14,115.77,9,68.48
5220,0,0,0,0,1,10.36,0,0,0,0
5221,2,13.32,1,6.66,1,6.66,1,6.66,0,0
5222,2,11.49,1,6.6,2,13.32,0,0,1,6.6
5223,3,22.94,3,19.92,8,74.66,3,23.62,3,22.645
5231,0,0,2,63.36,2,17.31,0,0,2,13.2
5232,1,10.36,0,0,1,7.77,0,0,0,0
5233,1,6.66,4,25.44,3,17.97,4,42.3,2,26.46
5234,2,16.5,1,7.77,2,38.34,1,6.29,1,7.875
5235,0,0,4,16.86,2,15.45,1,13.32,2,13.53
5236,1,10.36,1,13.2,1,10.36,0,0,0,0
5237,0,0,0,0,1,6.6,0,0,0,0
5238,11,112.1,14,103.54,7,43.13,9,68.27,7,47.61
5240,0,0,5,86.8,5,79.29,4,43.42,0,0
5241,3,30.66,8,70.98,4,40.875,3,30.65,3,57.06
5242,0,0,7,75.69,6,99.72,1,13.32,2,21.46
5243,0,0,2,13.53,2,17.39,1,19.24,1,33.3
5244,8,85.57,10,79.68,8,116.56,0,0,1,9.9
5245,7,70.71,6,52.64,4,48.08,5,29.845,1,6.66
5250,4,45.12,6,42.615,10,91.4,3,28.83,7,46.91
5251,31,258.215,44,448.755,58,444.15,43,335.275,18,135.5
5252,6,47.14,9,74.37,10,88.15,7,65.765,2,19.98
5253,18,141.59,29,273.215,18,180.79,22,215.205,10,84.64
5254,5,37.24,9,72.89,8,91.11,7,51.16,2,10.59
5255,26,245.955,23,216.455,19,151.97,17,150.76,5,40.83
5256,4,32.32,3,20.04,2,13.26,3,21.83,2,16.96
5259,0,0,2,18.44,5,34.5,2,12.6,1,6.66
5260,2,13.26,3,25.2,1,13.32,3,52.87,1,6.66
5261,0,0,0,0,0,0,2,13.32,0,0
5262,0,0,0,0,2,13.26,0,0,1,19.98
5263,0,0,0,0,0,0,1,37,0,0
5264,1,6.6,0,0,3,26.64,3,34.04,0,0
5265,0,0,1,6.6,0,0,0,0,0,0
5266,0,0,1,6.66,3,19.98,0,0,0,0
5267,0,0,4,26.4,2,13.26,5,61.065,1,6.66
5268,0,0,7,50.3,5,55.78,2,11.84,4,37.19
5269,0,0,0,0,0,0,0,0,0,0
